simulation_idx,mu,Delta,chi,p,k,tauc,forced_wakeup_light_threshold,sleep_duration,sleep_onset,sleep_offset,dlmo,x_f,xc_f,n_f,H_f,S_f
60,19.0,6.0,11.0,0.6,0.55,23.8,0.5,7.535000000000025,309.995,317.53000000000003,19.67500000000001,-0.8188841267098225,-0.6661234283714087,0.15996243827183032,13.865486534302532,1.0
74,19.0,6.0,11.0,0.6,0.7,24.4,0.5,7.475000000000023,310.52,317.995,20.63499999999999,-0.6876884230813229,-0.8607433799247564,0.15996243827183032,14.566110044256245,1.0
48,19.0,6.0,11.0,0.55,0.7,24.25,0.5,7.600000000000023,310.395,317.995,20.350000000000023,-0.7374615181733019,-0.8073188780889501,0.16413461883655128,14.35438885282513,1.0
13,19.0,6.0,11.0,0.5,0.55,24.25,0.5,7.485000000000014,310.51,317.995,20.579999999999984,-0.6907210954554743,-0.8532852086787054,0.16805113894097778,14.55673192275693,1.0
12,19.0,6.0,11.0,0.5,0.55,24.1,0.5,7.600000000000023,310.395,317.995,20.30000000000001,-0.7368043100456004,-0.8007455801329276,0.16805113894097778,14.354388852825384,1.0
10,19.0,6.0,11.0,0.5,0.55,23.8,0.5,7.555000000000007,309.995,317.55,19.715000000000032,-0.8146730429406808,-0.6757750392755393,0.16805113894097778,13.85820945910867,1.0
38,19.0,6.0,11.0,0.55,0.55,24.25,0.5,7.475000000000023,310.52,317.995,20.58499999999998,-0.6884573338589091,-0.8533350577169221,0.16413461883655128,14.566110044255993,1.0
119,19.0,6.0,11.0,0.7,0.625,24.4,0.5,7.384999999999991,310.61,317.995,20.795000000000016,-0.6504530817752264,-0.8850757503923015,0.15086738934325597,14.72004595371046,1.0
124,19.0,6.0,11.0,0.7,0.7,24.4,0.5,7.449999999999989,310.545,317.995,20.67500000000001,-0.6779053684505788,-0.8641990455672443,0.15086738934325597,14.608743759523998,1.0
118,19.0,6.0,11.0,0.7,0.625,24.25,0.5,7.519999999999982,310.475,317.995,20.49000000000001,-0.7056958763893934,-0.8316501835484686,0.15086738934325597,14.489613106761903,1.0
39,19.0,6.0,11.0,0.55,0.55,24.4,0.5,7.355000000000018,310.64,317.995,20.86500000000001,-0.6366710724740932,-0.9012373578294522,0.16413461883655128,14.771638443793194,1.0
11,19.0,6.0,11.0,0.5,0.55,23.95,0.5,7.639999999999986,310.21500000000003,317.855,20.00999999999999,-0.7785855473702414,-0.7415914630464719,0.16805113894097778,14.106460487433507,1.0
29,19.0,6.0,11.0,0.55,0.4,24.4,0.5,7.2099999999999795,310.785,317.995,21.120000000000005,-0.5729256931014332,-0.9406497487113316,0.16413461883655128,15.022995372862622,1.0
15,19.0,6.0,11.0,0.5,0.625,23.8,0.5,7.4950000000000045,309.995,317.49,19.58499999999998,-0.8300884253761458,-0.6444894265143016,0.16805113894097778,13.880001051628428,1.0
120,19.0,6.0,11.0,0.7,0.7,23.8,0.5,7.3799999999999955,309.995,317.375,19.360000000000014,-0.8531350321559356,-0.5873524883167512,0.15086738934325597,13.921437486627546,1.0
108,19.0,6.0,11.0,0.7,0.475,24.25,0.5,7.384999999999991,310.61,317.995,20.735000000000014,-0.6515587400115053,-0.8755766223875447,0.15086738934325597,14.720045953710203,1.0
109,19.0,6.0,11.0,0.7,0.475,24.4,0.5,7.2450000000000045,310.75,317.995,21.045000000000016,-0.5894280142782722,-0.9249662703187217,0.15086738934325597,14.969836262177818,1.0
121,19.0,6.0,11.0,0.7,0.7,23.95,0.5,7.564999999999998,309.995,317.56,19.720000000000027,-0.8191342042080724,-0.6717339270242012,0.15086738934325597,13.854565956856625,1.0
14,19.0,6.0,11.0,0.5,0.55,24.4,0.5,7.365000000000009,310.63,317.995,20.850000000000023,-0.640724405446433,-0.9002389596906878,0.16805113894097778,14.75442531064662,1.0
28,19.0,6.0,11.0,0.55,0.4,24.25,0.5,7.339999999999975,310.65500000000003,317.995,20.83499999999998,-0.6315924406616462,-0.8963110377463843,0.16413461883655128,14.797487501873832,1.0
16,19.0,6.0,11.0,0.5,0.625,23.95,0.5,7.625,310.095,317.72,19.889999999999986,-0.7975089473970263,-0.7138826724819963,0.16805113894097778,13.958959810484302,1.0
123,19.0,6.0,11.0,0.7,0.7,24.25,0.5,7.579999999999984,310.415,317.995,20.370000000000005,-0.7300155775166723,-0.808491662228039,0.15086738934325597,14.388102773908221,1.0
122,19.0,6.0,11.0,0.7,0.7,24.1,0.5,7.659999999999968,310.235,317.895,20.055000000000007,-0.7776677164297847,-0.744551704184562,0.15086738934325597,14.124623000415633,1.0
17,19.0,6.0,11.0,0.5,0.625,24.1,0.5,7.660000000000025,310.335,317.995,20.180000000000007,-0.7589495322777341,-0.7758474400602647,0.16805113894097778,14.253614098863729,1.0
